,spotify_id,artist_id,track_name,album_name,artist_name,date,duration,pop,genres,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,is_latin,artist_latin_status
27,5Gu0PDLN4YJeW75PpBSg9p,3b8QkneNDz4JHKKKlLgYZg,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Florida Georgia Line,2017-09-08,174800,78,contemporary country,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,2018,nonlatin,nonlatin
28,5Gu0PDLN4YJeW75PpBSg9p,3b8QkneNDz4JHKKKlLgYZg,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Florida Georgia Line,2017-09-08,174800,78,country,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,2018,nonlatin,nonlatin
29,5Gu0PDLN4YJeW75PpBSg9p,3b8QkneNDz4JHKKKlLgYZg,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Florida Georgia Line,2017-09-08,174800,78,country pop,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,2018,nonlatin,nonlatin
30,5Gu0PDLN4YJeW75PpBSg9p,3b8QkneNDz4JHKKKlLgYZg,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Florida Georgia Line,2017-09-08,174800,78,country road,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,2018,nonlatin,nonlatin
31,5Gu0PDLN4YJeW75PpBSg9p,3b8QkneNDz4JHKKKlLgYZg,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Florida Georgia Line,2017-09-08,174800,78,modern country rock,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,2018,nonlatin,nonlatin
32,5Gu0PDLN4YJeW75PpBSg9p,3b8QkneNDz4JHKKKlLgYZg,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Florida Georgia Line,2017-09-08,174800,78,modern alternative rock,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,2018,nonlatin,nonlatin
33,5Gu0PDLN4YJeW75PpBSg9p,4olE3I5QU0dvSR7LIpqTXc,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",WATT,2017-09-08,174800,78,pop,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,2018,nonlatin,nonlatin
34,5Gu0PDLN4YJeW75PpBSg9p,4olE3I5QU0dvSR7LIpqTXc,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",WATT,2017-09-08,174800,78,dance pop,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,2018,nonlatin,nonlatin
35,5Gu0PDLN4YJeW75PpBSg9p,4olE3I5QU0dvSR7LIpqTXc,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",WATT,2017-09-08,174800,78,edm,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,2018,nonlatin,nonlatin
36,5Gu0PDLN4YJeW75PpBSg9p,4olE3I5QU0dvSR7LIpqTXc,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",WATT,2017-09-08,174800,78,pop dance,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,2018,nonlatin,nonlatin
