,spotify_id,artist_id,track_name,album_name,artist_name,date,duration,pop,genres,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,is_latin
440,3V8UKqhEK5zBkBb6d6ub8i,"5hdhHgpxyniooUiQVaPxQ0,1fux65HMCBvfJHqlBc4Nno,4q3ewBCX7sLwd24euuV69X,1TtXnWcUs0FCkaZDPGYHdf,1i8SpTcr7yvPOmcqrbnVXY,1SupJlEpv7RS2tPNRaHViT",Te Boté - Remix,Te Boté (Remix),"Nio Garcia,Casper Magico,Bad Bunny,Darell,Ozuna,Nicky Jam",2018-04-13,417920,78,"reggaeton,trap latino,urbano latino,reggaeton flow,latin hip hop,puerto rican pop",0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2022,latin
441,704LUEih663hiE3CnyUrFW,790FomKkXshlbRYZFtlgla,SEJODIOTO,SEJODIOTO,KAROL G,2021-09-21,181106,77,"reggaeton,reggaeton colombiano,trap latino,urbano latino",0.822,0.736,1,-3.969,0.15,0.157,0.000781,0.0748,0.679,175.93,2022,latin
442,7iXJg4IUyrWont5YSQrbKP,"0vR2qb8m9WHeZ5ByCbimq2,1DxLCyH42yaHKGK3cl5bvG",Los Tragos,Los Tragos,"Reik,Maria Becerra",2021-11-25,171000,75,"latin arena pop,latin pop,mexican pop,reggaeton,urbano latino,pop argentino",0.557,0.7,7,-5.024,0.0638,0.115,1.11e-06,0.161,0.681,93.9,2022,latin
443,380HmhwTE2NJgawn1NwkXi,1vyhD5VmyZ7KMfW5gqLgo5,Rojo,Colores,J Balvin,2020-03-19,150720,72,"reggaeton,reggaeton colombiano,trap latino,urbano latino",0.663,0.598,11,-4.042,0.17,0.193,8.02e-05,0.0856,0.4,172.245,2022,latin
444,1dm6z1fWB0cErMszU25dy2,4q3ewBCX7sLwd24euuV69X,Después de la Playa,Un Verano Sin Ti,Bad Bunny,2022-05-06,230400,79,"reggaeton,trap latino,urbano latino",0.564,0.903,5,-3.221,0.307,0.356,0.0,0.175,0.607,78.293,2022,latin
445,1QAdhn27qnsVDFc7ZZZ0Ag,"1i8SpTcr7yvPOmcqrbnVXY,1SupJlEpv7RS2tPNRaHViT",Haciéndolo,Aura,"Ozuna,Nicky Jam",2018-08-24,232506,47,"puerto rican pop,reggaeton,trap latino,urbano latino,latin hip hop",0.648,0.804,4,-4.189,0.0482,0.0574,1.7e-05,0.376,0.607,180.055,2022,latin
446,0EtuSDTRJYUwlPf4y6coIz,"0C8ZW7ezQVs4URX5aX7Kqx,28gNT5KBp7IjEOQoevXf9N",999 (with Camilo),999 (with Camilo),"Selena Gomez,Camilo",2021-08-26,224168,61,"pop,post-teen pop,colombian pop,latin pop,latin viral pop,reggaeton colombiano",0.781,0.748,1,-4.604,0.242,0.105,0.0,0.156,0.788,149.819,2022,latin
447,1g4cZvi0nLeeIycd0Rkljj,"3bvfu2KAve4lPHrhEFDZna,7vXDAI8JwjW531ouMGbfcp,5LeiVcEnsZcwc133TUhJNW",La Niña de la Escuela,La Niña,"Lola Indigo,TINI,Belinda",2021-07-01,204414,70,"latin viral pop,spanish pop,latin pop,pop argentino,latin arena pop,mexican pop",0.707,0.876,1,-1.887,0.0787,0.173,9.36e-06,0.932,0.853,176.068,2022,latin
448,5kVZxyMY1gfdCLiChsfjn1,4q3ewBCX7sLwd24euuV69X,Yo No Soy Celoso,Un Verano Sin Ti,Bad Bunny,2022-05-06,230704,76,"reggaeton,trap latino,urbano latino",0.872,0.588,0,-6.276,0.0492,0.275,0.0,0.17,0.93,142.004,2022,latin
449,5cepAtqnEQ6yVG6088zMMu,"1r4hJ1h58CWwUQe3MxPuau,1B0Rp4SWGnFgGCPU5Pju6E",Corazón (feat. Nego do Borel),F.A.M.E.,"Maluma,Nego do Borel",2018-05-18,184720,73,"latin pop,reggaeton,reggaeton colombiano,trap latino,urbano latino,funk carioca,funk das antigas,funk ostentacao,funk pop,sertanejo universitario",0.722,0.738,9,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,2022,latin
450,0JcNysfWVWaMS7R6vzGB2k,"4vhNDa5ycK0ST968ek7kRr,07YUOmWljBTXwIseAUd9TW",Robarte un Beso,VIVES,"Carlos Vives,Sebastian Yatra",2017-11-10,194742,77,"colombian pop,latin pop,vallenato,reggaeton,reggaeton colombiano,urbano latino",0.742,0.859,10,-4.942,0.0482,0.0824,0.0,0.359,0.652,95.046,2022,latin
