,spotify_id,artist_id,track_name,album_name,artist_name,date,duration,pop,genres,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,is_latin
191,2x0RZdkZcD8QRI53XT4GI5,"1vCWHaC5f2uS3yhpwWbIA6,0id62QV2SZZfvBn9xpmuCl",SOS (feat. Aloe Blacc),TIM,"Avicii,Aloe Blacc",2019-06-06,157202,75,"dance pop,edm,pop,pop dance,pop soul,r&b",0.802,0.645,5,-6.181,0.0715,0.272,0.0,0.119,0.376,100.001,2019,nonlatin
192,3HWzoMvoF3TQfYg4UPszDq,56oDRnqbIiwx4mymNEv7dS,Truth Hurts,Cuz I Love You (Super Deluxe),Lizzo,2019-04-19,173325,75,"escape room,minnesota hip hop,pop,trap queen",0.715,0.624,4,-3.046,0.114,0.11,0.0,0.123,0.412,158.087,2019,nonlatin
193,33CfD8UkDEcSdAP9j4QpUY,"4Q6nIcaBED8qUel8bBx6Cr,1bj5GrcLom5gZFF5t949Xl,2kRfqPViCqYdSGhYSM9R0Q,2NlKrNMdpYxGjt3Pvw87rC",All Day And Night,All Day And Night (Jax Jones & Martin Solveig Present Europa),"Jax Jones,Martin Solveig,Madison Beer,Europa",2019-03-28,169303,60,"dance pop,edm,house,pop dance,uk dance,uk pop,disco house,electro house,filter house,vocal house,pop",0.585,0.782,1,-4.101,0.0897,0.269,0.0,0.156,0.521,121.908,2019,nonlatin
194,0DiDStADDVh3SvAsoJAFMk,7gOdHgIoIKoe4i9Tta6qdD,Only Human,Happiness Begins,Jonas Brothers,2019-06-07,183000,73,"boy band,pop",0.795,0.496,0,-5.883,0.0722,0.108,0.0,0.0645,0.874,94.01,2019,nonlatin
195,5Jqg1ta5RhBIYuJ1gdHCAt,"31Ua7zSTJxegjyd49ujbSA,7b79bQFziJFedJb75k6hFt",Options,Roots,"NSG,Tion Wayne",2020-06-19,240081,59,"afrobeats,afroswing,uk dancehall,uk hip hop,london rap",0.836,0.621,1,-4.684,0.0894,0.389,9.16e-05,0.104,0.762,101.993,2019,nonlatin
196,5N1o6d8zGcSZSeMFkOUQOk,"181bsRPaVXVlUKXrxwZfHK,7c0XG5cIJTrrAgEC3ULPiq,0hCNtLu0JehylgoiP8L4Gh",Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),"Megan Thee Stallion,Ty Dolla $ign,Nicki Minaj",2019-08-09,199427,66,"houston rap,pop,r&b,rap,trap queen,hip hop,pop rap,southern hip hop,trap,trap soul,hip pop,queens hip hop",0.872,0.814,0,-4.568,0.155,0.00485,1.96e-06,0.214,0.57,98.985,2019,nonlatin
197,2XU0oxnq2qxCpomAAuJY8K,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,Tones And I,2019-10-17,209438,78,australian pop,0.824,0.588,6,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,2019,nonlatin
198,19kUPdKTp85q9RZNwaXM15,3oSJ7TBVCWMDMiYjXNiCKE,Good as You,Experiment Extended,Kane Brown,2019-11-01,192053,67,"black americana,contemporary country,country,country road",0.626,0.516,8,-6.05,0.0388,0.4,0.0,0.142,0.769,153.653,2019,nonlatin
199,7wy1pCS4yuTvTak1b6DD3C,"6ASri4ePR7RlsvIQgWPJpS,6Xgp2XMz1fhVYe7i6yNAax",gone girl (feat. Trippie Redd),Industry Plant,"iann dior,Trippie Redd",2019-11-08,136568,59,"melodic rap,rap,trap",0.679,0.714,11,-5.849,0.0287,0.15,0.0,0.0684,0.334,94.992,2019,nonlatin
200,0sf12qNH5qcw8qpgymFOqD,1Xyo4u8uXC1ZmMpatF05PJ,Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,201573,19,"canadian contemporary r&b,canadian pop,pop",0.513,0.796,1,-4.075,0.0629,0.00147,0.000209,0.0938,0.345,171.017,2020,nonlatin
201,3hUxzQpSfdDqwM3ZTFQY0K,06HL4z0CvFAxyc27GXpf02,august,folklore,Taylor Swift,2020-07-24,261922,92,pop,0.532,0.623,5,-9.208,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,2020,nonlatin
202,7igeByaBM0MgGsgXtNxDJ7,66CXWjxzNUsdJxJ2JdwvnR,positions,positions,Ariana Grande,2020-10-23,172324,6,pop,0.736,0.802,0,-4.759,0.0864,0.468,0.0,0.094,0.675,144.005,2020,nonlatin
203,7eJMfftS33KTjuF7lTsMCx,"6bmlMHgSheBauioMgKv2tn,35l9BRT7MXmM8bv2WDQiyB",death bed (coffee for your head),death bed (coffee for your head),"Powfu,beabadoobee",2020-02-08,173333,84,"sad lo-fi,sad rap,bedroom pop,bubblegrunge,indie pop,pov: indie",0.726,0.431,8,-8.765,0.135,0.731,0.0,0.696,0.348,144.026,2020,nonlatin
204,0nbXyq5TXYPCO7pr3N8S4I,757aE44tKEUQEqRuT6GnEB,The Box,Please Excuse Me for Being Antisocial,Roddy Ricch,2019-12-06,196652,85,"melodic rap,rap,trap",0.896,0.586,10,-6.687,0.0559,0.104,0.0,0.79,0.642,116.971,2020,nonlatin
205,22LAwLoDA5b4AaGSkg6bKW,5zctI4wO9XSKS8XwcnqEHk,Blueberry Faygo,Certified Hitmaker,Lil Mosey,2020-02-06,162546,77,"melodic rap,rap conscient",0.774,0.554,0,-7.909,0.0383,0.207,0.0,0.132,0.349,99.034,2020,nonlatin
206,1tkg4EHVoqnhR6iFEXb60y,0eDvMgVFoNV3TpwtrVCoTj,What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,160000,82,"brooklyn drill,rap",0.709,0.548,10,-8.493,0.353,0.65,1.59e-06,0.133,0.543,83.995,2020,nonlatin
207,127QTOFJsJQp5LbJbu3A1y,3TVXtAsR1Inumwj472S9r4,Toosie Slide,Toosie Slide,Drake,2020-04-03,247058,74,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.834,0.454,1,-9.75,0.201,0.321,6.15e-06,0.114,0.837,81.618,2020,nonlatin
208,4LEK9rD7TWIG4FCL1s27XC,06HL4z0CvFAxyc27GXpf02,cardigan,folklore,Taylor Swift,2020-07-24,239560,53,pop,0.613,0.581,0,-8.588,0.0424,0.537,0.000345,0.25,0.551,130.033,2020,nonlatin
209,2b8fOow8UzyDFAE27YhOZM,04gDigrS5kc9YWfZHwBETP,Memories,Memories,Maroon 5,2019-09-20,189486,30,pop,0.764,0.32,11,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,2020,nonlatin
210,3Dv1eDb0MEgF93GpLXlucZ,5cj0lLjcoR7YOSnhnX0Po5,Say So,Hot Pink,Doja Cat,2019-11-07,237893,80,"dance pop,pop",0.787,0.673,11,-4.583,0.159,0.264,3.35e-06,0.0904,0.779,110.962,2020,nonlatin
211,6UelLqGlWMcVH1E5c4H7lY,6KImCVD70vtIoJWnq6nGn3,Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,89,pop,0.548,0.816,0,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39,2020,nonlatin
212,24ySl2hOPGCDcxBxFIqWBu,"1HY2Jd0NmPuamShAr6KMms,66CXWjxzNUsdJxJ2JdwvnR",Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),"Lady Gaga,Ariana Grande",2020-05-22,182200,74,"art pop,dance pop,pop",0.672,0.855,9,-3.764,0.0397,0.021,0.0,0.323,0.646,123.056,2020,nonlatin
213,696DnlkuDOXcMAnKlTgXXK,0vRvGUQVUjytro0xpb26bs,ROXANNE,ROXANNE,Arizona Zervas,2019-10-10,163636,78,"indie pop rap,pop rap,rhode island rap",0.621,0.601,6,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,2020,nonlatin
214,5RqR4ZCCKJDcBLIn4sih9l,1XLWox9w1Yvbodui0SRhUQ,Party Girl,Party Girl,StaySolidRocky,2020-04-21,147800,73,melodic rap,0.728,0.431,6,-9.966,0.0622,0.749,0.0,0.0996,0.629,130.022,2020,nonlatin
