,spotify_id,artist_id,track_name,album_name,artist_name,date,duration,pop,genres,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year
22,48zFZh27QU5qsrBjn4C2FA,0tmwSHipWxN12fsoLcFU3B,Vaina Loca,Aura,Manuel Turizo,2018-08-24,176133,78,urbano latino,0.754,0.805,6,-4.249,0.0752,0.315,0.0,0.203,0.555,93.982,2018
23,48zFZh27QU5qsrBjn4C2FA,0tmwSHipWxN12fsoLcFU3B,Vaina Loca,Aura,Manuel Turizo,2018-08-24,176133,78,colombian pop,0.754,0.805,6,-4.249,0.0752,0.315,0.0,0.203,0.555,93.982,2018
24,48zFZh27QU5qsrBjn4C2FA,0tmwSHipWxN12fsoLcFU3B,Vaina Loca,Aura,Manuel Turizo,2018-08-24,176133,78,reggaeton colombiano,0.754,0.805,6,-4.249,0.0752,0.315,0.0,0.203,0.555,93.982,2018
25,3V8UKqhEK5zBkBb6d6ub8i,5hdhHgpxyniooUiQVaPxQ0,Te Boté - Remix,Te Boté (Remix),Nio Garcia,2018-04-13,417920,78,reggaeton,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
26,3V8UKqhEK5zBkBb6d6ub8i,5hdhHgpxyniooUiQVaPxQ0,Te Boté - Remix,Te Boté (Remix),Nio Garcia,2018-04-13,417920,78,trap latino,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
27,3V8UKqhEK5zBkBb6d6ub8i,5hdhHgpxyniooUiQVaPxQ0,Te Boté - Remix,Te Boté (Remix),Nio Garcia,2018-04-13,417920,78,urbano latino,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
28,3V8UKqhEK5zBkBb6d6ub8i,5hdhHgpxyniooUiQVaPxQ0,Te Boté - Remix,Te Boté (Remix),Nio Garcia,2018-04-13,417920,78,reggaeton flow,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
29,3V8UKqhEK5zBkBb6d6ub8i,5hdhHgpxyniooUiQVaPxQ0,Te Boté - Remix,Te Boté (Remix),Nio Garcia,2018-04-13,417920,78,latin hip hop,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
30,3V8UKqhEK5zBkBb6d6ub8i,5hdhHgpxyniooUiQVaPxQ0,Te Boté - Remix,Te Boté (Remix),Nio Garcia,2018-04-13,417920,78,puerto rican pop,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
31,3V8UKqhEK5zBkBb6d6ub8i,1fux65HMCBvfJHqlBc4Nno,Te Boté - Remix,Te Boté (Remix),Casper Magico,2018-04-13,417920,78,reggaeton,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
32,3V8UKqhEK5zBkBb6d6ub8i,1fux65HMCBvfJHqlBc4Nno,Te Boté - Remix,Te Boté (Remix),Casper Magico,2018-04-13,417920,78,trap latino,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
33,3V8UKqhEK5zBkBb6d6ub8i,1fux65HMCBvfJHqlBc4Nno,Te Boté - Remix,Te Boté (Remix),Casper Magico,2018-04-13,417920,78,urbano latino,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
34,3V8UKqhEK5zBkBb6d6ub8i,1fux65HMCBvfJHqlBc4Nno,Te Boté - Remix,Te Boté (Remix),Casper Magico,2018-04-13,417920,78,reggaeton flow,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
35,3V8UKqhEK5zBkBb6d6ub8i,1fux65HMCBvfJHqlBc4Nno,Te Boté - Remix,Te Boté (Remix),Casper Magico,2018-04-13,417920,78,latin hip hop,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
36,3V8UKqhEK5zBkBb6d6ub8i,1fux65HMCBvfJHqlBc4Nno,Te Boté - Remix,Te Boté (Remix),Casper Magico,2018-04-13,417920,78,puerto rican pop,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
37,3V8UKqhEK5zBkBb6d6ub8i,4q3ewBCX7sLwd24euuV69X,Te Boté - Remix,Te Boté (Remix),Bad Bunny,2018-04-13,417920,78,reggaeton,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
38,3V8UKqhEK5zBkBb6d6ub8i,4q3ewBCX7sLwd24euuV69X,Te Boté - Remix,Te Boté (Remix),Bad Bunny,2018-04-13,417920,78,trap latino,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
39,3V8UKqhEK5zBkBb6d6ub8i,4q3ewBCX7sLwd24euuV69X,Te Boté - Remix,Te Boté (Remix),Bad Bunny,2018-04-13,417920,78,urbano latino,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
40,3V8UKqhEK5zBkBb6d6ub8i,4q3ewBCX7sLwd24euuV69X,Te Boté - Remix,Te Boté (Remix),Bad Bunny,2018-04-13,417920,78,reggaeton flow,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
41,3V8UKqhEK5zBkBb6d6ub8i,4q3ewBCX7sLwd24euuV69X,Te Boté - Remix,Te Boté (Remix),Bad Bunny,2018-04-13,417920,78,latin hip hop,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
42,3V8UKqhEK5zBkBb6d6ub8i,4q3ewBCX7sLwd24euuV69X,Te Boté - Remix,Te Boté (Remix),Bad Bunny,2018-04-13,417920,78,puerto rican pop,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
43,3V8UKqhEK5zBkBb6d6ub8i,1TtXnWcUs0FCkaZDPGYHdf,Te Boté - Remix,Te Boté (Remix),Darell,2018-04-13,417920,78,reggaeton,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
44,3V8UKqhEK5zBkBb6d6ub8i,1TtXnWcUs0FCkaZDPGYHdf,Te Boté - Remix,Te Boté (Remix),Darell,2018-04-13,417920,78,trap latino,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
45,3V8UKqhEK5zBkBb6d6ub8i,1TtXnWcUs0FCkaZDPGYHdf,Te Boté - Remix,Te Boté (Remix),Darell,2018-04-13,417920,78,urbano latino,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
46,3V8UKqhEK5zBkBb6d6ub8i,1TtXnWcUs0FCkaZDPGYHdf,Te Boté - Remix,Te Boté (Remix),Darell,2018-04-13,417920,78,reggaeton flow,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
47,3V8UKqhEK5zBkBb6d6ub8i,1TtXnWcUs0FCkaZDPGYHdf,Te Boté - Remix,Te Boté (Remix),Darell,2018-04-13,417920,78,latin hip hop,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
48,3V8UKqhEK5zBkBb6d6ub8i,1TtXnWcUs0FCkaZDPGYHdf,Te Boté - Remix,Te Boté (Remix),Darell,2018-04-13,417920,78,puerto rican pop,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
49,3V8UKqhEK5zBkBb6d6ub8i,1i8SpTcr7yvPOmcqrbnVXY,Te Boté - Remix,Te Boté (Remix),Ozuna,2018-04-13,417920,78,reggaeton,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
50,3V8UKqhEK5zBkBb6d6ub8i,1i8SpTcr7yvPOmcqrbnVXY,Te Boté - Remix,Te Boté (Remix),Ozuna,2018-04-13,417920,78,trap latino,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
51,3V8UKqhEK5zBkBb6d6ub8i,1i8SpTcr7yvPOmcqrbnVXY,Te Boté - Remix,Te Boté (Remix),Ozuna,2018-04-13,417920,78,urbano latino,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
52,3V8UKqhEK5zBkBb6d6ub8i,1i8SpTcr7yvPOmcqrbnVXY,Te Boté - Remix,Te Boté (Remix),Ozuna,2018-04-13,417920,78,reggaeton flow,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
53,3V8UKqhEK5zBkBb6d6ub8i,1i8SpTcr7yvPOmcqrbnVXY,Te Boté - Remix,Te Boté (Remix),Ozuna,2018-04-13,417920,78,latin hip hop,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
54,3V8UKqhEK5zBkBb6d6ub8i,1i8SpTcr7yvPOmcqrbnVXY,Te Boté - Remix,Te Boté (Remix),Ozuna,2018-04-13,417920,78,puerto rican pop,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
55,3V8UKqhEK5zBkBb6d6ub8i,1SupJlEpv7RS2tPNRaHViT,Te Boté - Remix,Te Boté (Remix),Nicky Jam,2018-04-13,417920,78,reggaeton,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
56,3V8UKqhEK5zBkBb6d6ub8i,1SupJlEpv7RS2tPNRaHViT,Te Boté - Remix,Te Boté (Remix),Nicky Jam,2018-04-13,417920,78,trap latino,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
57,3V8UKqhEK5zBkBb6d6ub8i,1SupJlEpv7RS2tPNRaHViT,Te Boté - Remix,Te Boté (Remix),Nicky Jam,2018-04-13,417920,78,urbano latino,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
58,3V8UKqhEK5zBkBb6d6ub8i,1SupJlEpv7RS2tPNRaHViT,Te Boté - Remix,Te Boté (Remix),Nicky Jam,2018-04-13,417920,78,reggaeton flow,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
59,3V8UKqhEK5zBkBb6d6ub8i,1SupJlEpv7RS2tPNRaHViT,Te Boté - Remix,Te Boté (Remix),Nicky Jam,2018-04-13,417920,78,latin hip hop,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
60,3V8UKqhEK5zBkBb6d6ub8i,1SupJlEpv7RS2tPNRaHViT,Te Boté - Remix,Te Boté (Remix),Nicky Jam,2018-04-13,417920,78,puerto rican pop,0.903,0.675,11,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,2018
61,5OCJzvD7sykQEKHH7qAC3C,66CXWjxzNUsdJxJ2JdwvnR,God is a woman,Sweetener,Ariana Grande,2018-08-17,197546,79,pop,0.602,0.658,1,-5.934,0.0558,0.0233,6e-05,0.237,0.268,145.031,2018
62,4ggiDYAkJ7Yk8d5xOr7Xjo,0vR2qb8m9WHeZ5ByCbimq2,Me Niego (feat. Ozuna & Wisin),Ahora,Reik,2019-05-31,221653,74,latin arena pop,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
63,4ggiDYAkJ7Yk8d5xOr7Xjo,0vR2qb8m9WHeZ5ByCbimq2,Me Niego (feat. Ozuna & Wisin),Ahora,Reik,2019-05-31,221653,74,latin pop,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
64,4ggiDYAkJ7Yk8d5xOr7Xjo,0vR2qb8m9WHeZ5ByCbimq2,Me Niego (feat. Ozuna & Wisin),Ahora,Reik,2019-05-31,221653,74,mexican pop,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
65,4ggiDYAkJ7Yk8d5xOr7Xjo,0vR2qb8m9WHeZ5ByCbimq2,Me Niego (feat. Ozuna & Wisin),Ahora,Reik,2019-05-31,221653,74,reggaeton,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
66,4ggiDYAkJ7Yk8d5xOr7Xjo,0vR2qb8m9WHeZ5ByCbimq2,Me Niego (feat. Ozuna & Wisin),Ahora,Reik,2019-05-31,221653,74,urbano latino,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
67,4ggiDYAkJ7Yk8d5xOr7Xjo,0vR2qb8m9WHeZ5ByCbimq2,Me Niego (feat. Ozuna & Wisin),Ahora,Reik,2019-05-31,221653,74,puerto rican pop,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
68,4ggiDYAkJ7Yk8d5xOr7Xjo,0vR2qb8m9WHeZ5ByCbimq2,Me Niego (feat. Ozuna & Wisin),Ahora,Reik,2019-05-31,221653,74,trap latino,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
