,artist_id,artist_name,genres
55,4TEJudQY2pXxVHPE3gD2EU,BlocBoy JB,"memphis hip hop,rap,tennessee hip hop,trap"
56,5JZ7CnR6gTvEMKX4g70Amv,Lauv,pop
57,7HkdQ0gt53LP4zmHsL0nap,Ella Mai,"r&b,rap,uk contemporary r&b"
58,6beUvFUlKliUYJdLOXNj9C,King Princess,"alt z,indie pop,nyc pop"
59,3v6Ji4uoWtKRkhuDUaxi9n,Dynoro,edm
60,1OAjDaKgg00KCUYqDe68un,Gigi D'Agostino,"eurodance,italo dance"
61,02kJSzxNuaWGqwubyUba0Z,G-Eazy,"indie pop rap,oakland hip hop,pop rap,rap"
62,26VFTg2z8YR0cCuwLzESi2,Halsey,"electropop,etherpop,indie poptimism,pop"
63,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,"emo rap,miami hip hop"
64,6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,"edm,pop dance"
65,5uEeqYFuIChoWKy34jp8xE,Brando,"dance pop,pop dance"
66,0A0FS04o6zMoto8OKPsDwY,YG,"cali rap,hip hop,pop rap,rap,southern hip hop,trap"
67,17lzZA2AlOHwCwFALHttmp,2 Chainz,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap"
68,0c173mlxpT3dSFRgMO8XPh,Big Sean,"detroit hip hop,hip hop,pop rap,r&b,rap,trap"
69,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,"chicago rap,melodic rap,rap"
70,2cWZOOzeOm4WmBJRnD5R7I,Normani,"pop,r&b"
71,64KEffDW9EtZ1y2vBYgq8T,Marshmello,"brostep,edm,pop,progressive electro house"
72,7EQ0qTo7fWT7DPxmxtSYEc,Bastille,"metropopolis,modern rock,pop"
73,5pUo3fmmHT8bhCyHE52hA6,Liam Payne,pop
74,5CCwRZC6euC8Odo6y9X8jr,Rita Ora,"dance pop,pop,uk pop"
75,5CiGnKThu5ctn9pBxv7DGa,benny blanco,pop
76,6MDME20pz9RveH9rEXvrOM,Clean Bandit,"pop,uk dance,uk funky"
77,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,pop
78,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,"dance pop,pop"
79,28ExwzUQsvgJooOI0X1mr3,Jay Rock,"conscious hip hop,hip hop,rap,southern hip hop,trap"
80,1RyvyyTE3xzB2ZywiAwp0i,Future,"atl hip hop,hip hop,rap,southern hip hop,trap"
81,53KwLdlmrlCelAZMaLVZqU,James Blake,"art pop,indie soul,indietronica,neo soul,uk alternative pop"
82,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,"canadian pop,pop,viral pop"
83,04gDigrS5kc9YWfZHwBETP,Maroon 5,pop
84,3mIj9lX2MWuHmhNCA7LSCW,The 1975,"modern alternative rock,modern rock,pop,pov: indie,rock"
85,2RDOrhPqAM4jzTRCEb19qX,Sheck Wes,"pop rap,rap,trap"
86,246dkjvS1zLTtiykXe5h60,Post Malone,"dfw rap,melodic rap,pop,rap"
87,1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,"atl hip hop,melodic rap,plugg,rap,trap"
88,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,"big room,dance pop,edm,pop,pop dance"
89,5WUlDfRSoLAfcVSX1WnrxN,Sia,"australian dance,australian pop,pop"
90,3EOEK57CV77D4ovYVcmiyt,Dennis Lloyd,israeli pop
91,5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,pop
92,4AVFqumd2ogHFlRbKIjp1t,Alesso,"dance pop,edm,pop,pop dance,progressive electro house"
93,3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,"contemporary country,country,country pop,country road,modern country rock"
94,4olE3I5QU0dvSR7LIpqTXc,WATT,modern alternative rock
95,7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,"hip hop,pop rap,r&b,southern hip hop,trap,trap soul"
96,1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,pop
97,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,"big room,brostep,dutch edm,edm,house,pop dance,slap house,trance"
98,5vQfv3s2Z2SRdPZKr82ABw,Dzeko,"canadian electronic,dutch house,edm,electro house,pop dance,pop edm,progressive electro house"
99,0bdJZl7TDeiymDYzMJnVh2,Preme,"canadian hip hop,canadian trap"
100,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,"pop,viral pop"
101,64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,"dance pop,pop"
102,1URnnhqYAYcrqrcwql10ft,21 Savage,"atl hip hop,hip hop,rap"
103,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,"hip hop,miami hip hop,pop rap,rap"
104,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,"canadian pop,pop"
105,0VRj0yCOv2FXJNP47XQnx5,Quavo,"atl hip hop,melodic rap,rap,trap"
106,1anyVhU62p31KFi8MEzkbf,Chance the Rapper,"chicago rap,conscious hip hop,hip hop,pop rap,rap"
107,10exVja0key0uqUkk6LJRT,Vance Joy,"folk-pop,modern rock"
108,6fOMl44jA4Sp5b9PpYCkzz,NF,"hip hop,pop rap"
109,7HV2RI2qNug4EcQqLbCAKS,Keala Settle,"broadway,hollywood,show tunes"
110,63nv0hWWDob56Rk8GlNpN8,The Greatest Showman Ensemble,movie tunes
111,0cGUm45nv7Z6M6qdXYQGTX,Kehlani,"pop,r&b,rap"
112,4WN5naL3ofxrVBgFpguzKo,Rudimental,"pop dance,uk dance,uk funky"
113,4ScCswdRlyA23odg9thgIO,Jess Glynne,"dance pop,pop,uk pop"
114,3JhNCzhSMTxs9WLGJJxWOY,Macklemore,"pop rap,seattle hip hop"
115,2U3FuHYvL3vhkbDAXm24Ep,Dan Caplen,"neo soul,uk contemporary r&b"
116,4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,"dance pop,edm,house,pop dance,uk dance,uk pop"
117,7hssUdpvtY5oiARaUDgFZ3,Ina Wroldsen,norwegian pop
118,7z2avKuuiMAT4XZJFv8Rvh,Tom Walker,"indie anthem-folk,uk pop"
119,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,pop
120,3RqBeV12Tt7A8xH3zBDDUF,Kelsea Ballerini,"contemporary country,country"
