,spotify_id,artist_id,track_name,album_name,artist_name,date,duration,pop,genres,year,is_latin,artist_latin_status
0,5Gu0PDLN4YJeW75PpBSg9p,5p7f24Rk5HkUZsaS3BLG5F,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2017-09-08,174800,78,pop,2018,nonlatin,nonlatin
1,5Gu0PDLN4YJeW75PpBSg9p,5p7f24Rk5HkUZsaS3BLG5F,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2017-09-08,174800,78,dance pop,2018,nonlatin,nonlatin
2,5Gu0PDLN4YJeW75PpBSg9p,5p7f24Rk5HkUZsaS3BLG5F,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2017-09-08,174800,78,edm,2018,nonlatin,nonlatin
3,5Gu0PDLN4YJeW75PpBSg9p,5p7f24Rk5HkUZsaS3BLG5F,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2017-09-08,174800,78,pop dance,2018,nonlatin,nonlatin
4,5Gu0PDLN4YJeW75PpBSg9p,5p7f24Rk5HkUZsaS3BLG5F,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2017-09-08,174800,78,progressive electro house,2018,nonlatin,nonlatin
5,5Gu0PDLN4YJeW75PpBSg9p,5p7f24Rk5HkUZsaS3BLG5F,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2017-09-08,174800,78,contemporary country,2018,nonlatin,nonlatin
6,5Gu0PDLN4YJeW75PpBSg9p,5p7f24Rk5HkUZsaS3BLG5F,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2017-09-08,174800,78,country,2018,nonlatin,nonlatin
7,5Gu0PDLN4YJeW75PpBSg9p,5p7f24Rk5HkUZsaS3BLG5F,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2017-09-08,174800,78,country pop,2018,nonlatin,nonlatin
8,5Gu0PDLN4YJeW75PpBSg9p,5p7f24Rk5HkUZsaS3BLG5F,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2017-09-08,174800,78,country road,2018,nonlatin,nonlatin
9,5Gu0PDLN4YJeW75PpBSg9p,5p7f24Rk5HkUZsaS3BLG5F,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2017-09-08,174800,78,modern country rock,2018,nonlatin,nonlatin
10,5Gu0PDLN4YJeW75PpBSg9p,5p7f24Rk5HkUZsaS3BLG5F,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2017-09-08,174800,78,modern alternative rock,2018,nonlatin,nonlatin
11,5Gu0PDLN4YJeW75PpBSg9p,4AVFqumd2ogHFlRbKIjp1t,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Alesso,2017-09-08,174800,78,pop,2018,nonlatin,nonlatin
12,5Gu0PDLN4YJeW75PpBSg9p,4AVFqumd2ogHFlRbKIjp1t,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Alesso,2017-09-08,174800,78,dance pop,2018,nonlatin,nonlatin
13,5Gu0PDLN4YJeW75PpBSg9p,4AVFqumd2ogHFlRbKIjp1t,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Alesso,2017-09-08,174800,78,edm,2018,nonlatin,nonlatin
14,5Gu0PDLN4YJeW75PpBSg9p,4AVFqumd2ogHFlRbKIjp1t,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Alesso,2017-09-08,174800,78,pop dance,2018,nonlatin,nonlatin
15,5Gu0PDLN4YJeW75PpBSg9p,4AVFqumd2ogHFlRbKIjp1t,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Alesso,2017-09-08,174800,78,progressive electro house,2018,nonlatin,nonlatin
16,5Gu0PDLN4YJeW75PpBSg9p,4AVFqumd2ogHFlRbKIjp1t,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Alesso,2017-09-08,174800,78,contemporary country,2018,nonlatin,nonlatin
17,5Gu0PDLN4YJeW75PpBSg9p,4AVFqumd2ogHFlRbKIjp1t,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Alesso,2017-09-08,174800,78,country,2018,nonlatin,nonlatin
18,5Gu0PDLN4YJeW75PpBSg9p,4AVFqumd2ogHFlRbKIjp1t,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Alesso,2017-09-08,174800,78,country pop,2018,nonlatin,nonlatin
19,5Gu0PDLN4YJeW75PpBSg9p,4AVFqumd2ogHFlRbKIjp1t,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Alesso,2017-09-08,174800,78,country road,2018,nonlatin,nonlatin
20,5Gu0PDLN4YJeW75PpBSg9p,4AVFqumd2ogHFlRbKIjp1t,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Alesso,2017-09-08,174800,78,modern country rock,2018,nonlatin,nonlatin
21,5Gu0PDLN4YJeW75PpBSg9p,4AVFqumd2ogHFlRbKIjp1t,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Alesso,2017-09-08,174800,78,modern alternative rock,2018,nonlatin,nonlatin
22,5Gu0PDLN4YJeW75PpBSg9p,3b8QkneNDz4JHKKKlLgYZg,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Florida Georgia Line,2017-09-08,174800,78,pop,2018,nonlatin,nonlatin
23,5Gu0PDLN4YJeW75PpBSg9p,3b8QkneNDz4JHKKKlLgYZg,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Florida Georgia Line,2017-09-08,174800,78,dance pop,2018,nonlatin,nonlatin
24,5Gu0PDLN4YJeW75PpBSg9p,3b8QkneNDz4JHKKKlLgYZg,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Florida Georgia Line,2017-09-08,174800,78,edm,2018,nonlatin,nonlatin
