,latin_count,nonlatin_count,unknown_count,total_count,latin_percent,nonlatin_percent,unknown_percent,year
0,56.0,479.0,0.0,535.0,0.1,0.9,0.0,1.0
1,10.0,90.0,0.0,100.0,0.1,0.9,0.0,2018.0
2,8.0,92.0,0.0,100.0,0.08,0.92,0.0,2019.0
3,12.0,123.0,0.0,135.0,0.09,0.91,0.0,2020.0
4,13.0,87.0,0.0,100.0,0.13,0.87,0.0,2021.0
5,13.0,87.0,0.0,100.0,0.13,0.87,0.0,2022.0
